id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,ingested_at
234722720,Virginia,VA,51,Loudoun County,107,H5,Ashburn,H5 Data Centers Ashburn,83656.0,-77.4517199,39.01367498906444,building,2026-06-11 16:34
239032142,South Dakota,SD,46,Minnehaha County,99,,,TierPoint Sioux Falls West Data Center,55963.0,-96.8091949,43.60697077791878,building,2026-06-11 16:34
239147373,Virginia,VA,51,Fairfax County,59,Lumen Technologies,,Lumen McLean,42056.0,-77.21161872,38.920020715978985,building,2026-06-11 16:34
239147724,Virginia,VA,51,Fairfax County,59,DataBank,IAD2,DataBank McLean IAD2,22957.0,-77.213585,38.919905150298106,building,2026-06-11 16:34
240724127,Utah,UT,49,Salt Lake County,35,,,eBay,183167.0,-112.0477249,40.56374933,building,2026-06-11 16:34
243242167,Illinois,IL,17,DuPage County,43,Equinix,,Equinix Chicago Data CH7,47336.0,-87.97284349,41.812557111453394,building,2026-06-11 16:34
244490839,Arizona,AZ,4,Maricopa County,13,,,PhoenixNAP,79223.0,-112.0094263,33.41605053769886,building,2026-06-11 16:34
247427998,New York,NY,36,Richmond County,85,Merrill Lynch,,Merrill Lynch Data Center,63435.0,-74.17317971,40.60738024218361,building,2026-06-11 16:34
247428943,New York,NY,36,Richmond County,85,Telehouse,,Telehouse Teleport,69999.0,-74.17488652,40.606985209666014,building,2026-06-11 16:34
250052753,New York,NY,36,New York County,61,,,32 Avenue of the Americas,42396.0,-74.00463587,40.719998478665225,building,2026-06-11 16:34
251716328,Virginia,VA,51,Fairfax County,59,Digital Realty,,Digital Realty,72337.0,-77.47258022,38.91013270273295,building,2026-06-11 16:34
253682978,Missouri,MO,29,St. Louis city,510,,,TierPoint,24039.0,-90.19642027,38.62976100794761,building,2026-06-11 16:34
254583328,Nevada,NV,32,Clark County,3,,,Verizon,25884.0,-115.0779282,36.14473260734884,building,2026-06-11 16:34
254742608,Texas,TX,48,Bexar County,29,,A,,127563.0,-98.64069027,29.44667420261524,building,2026-06-11 16:34
254742609,Texas,TX,48,Bexar County,29,,B,,142712.0,-98.64112862,29.44792213625347,building,2026-06-11 16:34
254742610,Texas,TX,48,Bexar County,29,,Connector,,36014.0,-98.64099342,29.447199009365736,building,2026-06-11 16:34
254773884,Texas,TX,48,Collin County,85,,,,121665.0,-96.68156544,33.09599431363361,building,2026-06-11 16:34
